dataMode,id,address,neighborhood,type,listDate,pendingDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning
PUBLIC_PROXY,3347732,"322 NE 152ND ST, Seattle 98155",5,11,2025-09-15,2025-09-15,1085000,1100000,1085000,4,2.00,2620,1956,98155,SEATTLE,8,5,7800,NR2
PUBLIC_PROXY,3356318,"4335 NE 45TH ST, Seattle 98105",9,10,2025-11-17,2025-11-17,1003000,1150000,1003000,3,1.75,1540,2025,98105,SEATTLE,46,9,1402,LR1 (M)
PUBLIC_PROXY,3344859,"930 31ST AVE S, Seattle 98144",8,11,2025-08-26,2025-08-26,1666000,1250000,1666000,4,4.00,2840,1977,98144,SEATTLE,14,8,5774,NR3
PUBLIC_PROXY,3347266,"421 31ST AVE, Seattle 98122",4,11,2025-09-02,2025-09-02,1200000,1170000,1200000,3,2.25,2120,1975,98122,SEATTLE,17,4,5000,NR3
PUBLIC_PROXY,3345191,"3856 21ST AVENUE SOUTHWEST, Seattle 98106",98106,11,2025-08-22,2025-08-22,1129000,1300000,1129000,3,1.50,1900,1955,98106,Seattle,,,0,
PUBLIC_PROXY,3358816,"13033 SOUTHEAST 288TH PLACE, Seattle 98092",9,11,2025-12-08,2025-12-08,991000,1325000,991000,4,2.00,1840,1940,98092,SEATTLE,43,9,6642,NR3
PUBLIC_PROXY,3349841,"1628 27TH AVENUE, Seattle 98122",4,11,2025-09-26,2025-09-26,1103000,1235000,1103000,5,2.75,2060,1926,98122,SEATTLE,15,4,4800,NR3
PUBLIC_PROXY,3363156,"10227 26TH AVENUE SW, Seattle 98146",98146,11,2026-01-16,2026-01-16,1012000,1120000,1012000,4,3.25,2440,2021,98146,Seattle,,,0,
PUBLIC_PROXY,3360875,"522 NE 81ST ST, Seattle 98115",1,11,2025-12-19,2025-12-19,1092000,1175000,1092000,3,2.00,2440,1926,98115,SEATTLE,7,1,4080,NR3
PUBLIC_PROXY,3347231,"5919 CALIFORNIA AVE SW UNIT B, Seattle 98136",9,11,2025-09-12,2025-09-12,1070000,1125000,1070000,3,2.75,2060,1919,98136,SEATTLE,48,9,5750,NR3
PUBLIC_PROXY,3348936,"4644 238TH WAY SE, Seattle 98029",3,11,2025-09-25,2025-09-25,1030000,1150000,1030000,4,1.75,2250,1901,98029,SEATTLE,15,3,2400,RSL (M)
PUBLIC_PROXY,3356879,"627 A W EMERSON ST, Seattle 98199",2,10,2025-11-24,2025-11-24,1052000,1120000,1052000,4,2.25,1950,2024,98199,SEATTLE,12,2,1212,LR1 (M)
PUBLIC_PROXY,3351517,"4526A CORLISS AVE N, Seattle 98103",8,10,2025-10-15,2025-10-15,903000,1229000,903000,3,2.25,1640,2025,98103,SEATTLE,43,8,1696,LR1 (M1)
PUBLIC_PROXY,3349959,"2405 N 75TH ST, Seattle 98103",9,11,2025-09-30,2025-09-30,939000,1149000,939000,3,2.25,1740,2009,98103,SEATTLE,43,9,1685,LR3 (M1)
PUBLIC_PROXY,3355235,"730 W ETRURIA ST, Seattle 98119",2,11,2025-11-07,2025-11-07,1052000,1340000,1052000,4,1.75,2400,1940,98119,SEATTLE,12,2,5616,NR3
PUBLIC_PROXY,3348889,"2103 S BENNETT ST, Seattle 98108",98108,11,2025-09-25,2025-09-25,875000,1170000,875000,4,2.50,2830,1975,98108,Seattle,,,0,
